y,wl,ra6,ra12
1,708.7,708.7,708.7
2,701.7,705.2,705.2
3,752.4,720.9,720.9
4,806.6,742.4,742.4
5,909.1,775.7,775.7
6,928.4,801.2,801.2
7,925.9,837.4,819.0
8,920.8,873.9,831.7
9,914.9,901.0,840.9
10,908.3,917.9,847.7
11,908.4,917.8,853.2
12,907.9,914.4,857.8
13,908.4,911.5,874.4
14,906.9,909.1,891.5
15,922.2,910.4,905.7
16,982.4,922.7,920.3
17,1015.5,940.6,929.2
18,1020.4,959.3,936.8
19,1024.4,978.6,945.0
20,1024.6,998.3,953.7
21,1022.6,1015.0,962.7
22,1023.6,1021.9,972.3
23,1023.5,1023.2,981.9
24,1022.2,1023.5,991.4
25,1026.2,1023.8,1001.2
26,1031,1024.9,1011.6
27,1044.6,1028.51666666667,1021.8
28,1078.7,1037.7,1029.8
29,1096.6,1049.88333333333,1036.5
30,1102.8,1063.31666666667,1043.4
31,1099.6,1075.55,1049.7
32,1097.6,1086.7,1055.8
33,1096.7,1095.3,1061.925
34,1096,1098.2,1067.95833333333
35,1095.75,1098.075,1073.97916666667
36,1095,1096.775,1080.04583333333
37,1094.85,1095.98333333333,1085.76666666667
38,1100.2,1096.41666666667,1091.5
39,1109.2,1098.5,1096.9
40,1134.4,1104.9,1101.6
41,1165.6,1116.54166666667,1107.30833333333
42,1173.5,1129.625,1113.2
43,1171.95,1142.5,1119.22916666667
44,1173.8,1154.74166666667,1125.57916666667
45,1171.45,1165.11666666667,1131.80833333333
46,1168.7,1170.83333333333,1137.86666666667
47,1168.65,1171.34166666667,1143.94166666667
48,1165.4,1169.99166666667,1149.80833333333
49,1157.4,1167.56666666667,1155.0
50,1158.2,1164.96666666667,1159.85416666667
51,1162.9,1163.54166666667,1164.32916666667
52,1176.2,1164.79166666667,1167.8125
53,1183.45,1167.3,1169.3
54,1181.3,1169.90833333333,1169.95
55,1177.35,1173.23333333333,1170.4
56,1178.95,1176.69166666667,1170.82916666667
57,1176.1,1178.89166666667,1171.21666666667
58,1173.05,1178.36666666667,1171.57916666667
59,1169.95,1176.11666666667,1171.7
60,1166.9,1173.71666666667,1171.8125
61,1166,1171.825,1172.52916666667
62,1164.65,1169.44166666667,1173.06666666667
63,1164.85,1167.56666666667,1173.22916666667
64,1175.35,1167.95,1173.15833333333
65,1182.15,1169.98333333333,1173.05
66,1179.8,1172.13333333333,1172.925
67,1176.1,1173.81666666667,1172.82083333333
68,1174.45,1175.45,1172.44583333333
69,1173.75,1176.93333333333,1172.25
70,1170.8,1176.175,1172.0625
71,1168.05,1173.825,1171.90416666667
72,1167.1,1171.70833333333,1171.92083333333
73,1167.55,1170.28333333333,1172.05
74,1170.35,1169.6,1172.525
75,1175.85,1169.95,1173.44166666667
76,1201.25,1175.025,1175.6
77,1215.55,1182.94166666667,1178.38333333333
78,1220.4,1191.83,1181.76666666667
79,1216.5,1199.98333333333,1185.13333333333
80,1209.85,1206.56666666667,1188.08333333333
81,1211.25,1212.46666666667,1191.20833333333
82,1205.6,1213.19166666667,1194.10833333333
83,1195.8,1209.9,1196.42083333333
84,1184.8,1203.96666666667,1197.90
85,1176.75,1197.34166666667,1198.6625
86,1171.25,1190.90833333333,1198.7375
87,1182.9,1186.18333333333,1199.325
88,1195.5,1184.5,1198.84583333333
89,1213.15,1187.39166666667,1198.64583333333
90,1213.2,1192.125,1198.04583333333
91,1210.4,1197.73333333333,1197.5375
92,1205,1203.35833333333,1197.13333333333
93,1199.25,1206.08333333333,1196.13333333333
94,1194.05,1205.84166666667,1195.17083333333
95,1188.4,1201.71666666667,1194.55416666667
96,1182.45,1196.59166666667,1194.35833333333
97,1179.6,1191.45833333333,1194.59583333333
98,1177,1186.79166666667,1195.075
99,1180.6,1183.68333333333,1194.88333333333
100,1188.75,1182.8,1194.32083333333
101,1199.4,1184.63333333333,1193.175
102,1201.55,1187.81666666667,1192.20416666667
103,1199.65,1191.15833333333,1191.30833333333
104,1195.7,1194.275,1190.53333333333
105,1189.9,1195.825,1189.75416666667
106,1184.5,1195.11666666667,1188.95833333333
107,1178.35,1191.60833333333,1188.12083333333
108,1170.9,1186.5,1187.15833333333
109,1164.2,1180.59166666667,1185.875
110,1158.4,1174.375,1184.325
111,1158.1,1169.075,1182.45
112,1173.2,1167.19166666667,1181.15416666667
113,1194.85,1169.9,1180.775
114,1199.55,1174.71666666667,1180.60833333333
115,1193.9,1179.66666666667,1180.12916666667
116,1187.1,1184.45,1179.4125
117,1180.6,1188.2,1178.6375
118,1174.55,1188.425,1177.80833333333
119,1168,1183.95,1176.9
120,1161.25,1177.56666666667,1176.14166666667
121,1155.75,1171.20833333333,1175.4375
122,1149.6,1164.95833333333,1174.70416666667
123,1147.4,1159.425,1173.8125
124,1161.3,1157.21666666667,1172.82083333333
125,1174.55,1158.30833333333,1171.12916666667
126,1180.7,1161.55,1169.55833333333
127,1177.95,1165.25,1168.22916666667
128,1177.95,1169.975,1167.46666666667
129,1173.6,1174.34166666667,1166.88333333333
130,1168.95,1175.61666666667,1166.41666666667
131,1163.35,1173.75,1166.02916666667
132,1157.55,1169.89166666667,1165.72083333333
133,1151.65,1165.50833333333,1165.37916666667
134,1147.45,1160.425,1165.2
135,1148.2,1156.19,1165.26666666667
136,1155.15,1153.89166666667,1164.75416666667
137,1163.95,1153.99166666667,1163.87083333333
138,1163.3,1154.95,1162.42083333333
139,1161.25,1156.55,1161.02916666667
140,1157.65,1158.25,1159.3375
141,1153.9,1159.2,1157.70
142,1151.65,1158.61666666667,1156.25416666667
143,1148.55,1156.05,1155.02083333333
144,1142.6,1152.6,1153.775
145,1133.1,1147.90833333333,1152.22916666667
146,1135.38,1144.19666666667,1151.22333333333
147,1134.49,1140.96166666667,1150.08083333333
148,1151.93,1141.00833333333,1149.8125
149,1169.64,1144.52333333333,1150.28666666667
